Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of 聽mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
1,,,,,,,,,,,,,,,,1,I know some,"No, because it doesn't matter",N/A,"Sometimes, if it comes up",No,Yes,26-50%,1,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,"I would mention it if and only if it had a direct bearing on my ability to navigate the work environment (if I needed more time to walk from place to place, for example).",No,"I feel that physical issues can be addressed by the employer (installation of ramps, no prolonged standing, etc), while mental issues are perceived as being strictly the responsibility of the individual.","Yes, I think it would",Maybe,Somewhat open,N/A,,Yes,Maybe,Maybe,Yes,1,Rarely,Sometimes,37,male,United States of America,California,United States of America,California
0,100-500,1,,I don't know,I am not sure,No,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,I don't know,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,"Yes, they all did","Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,,Maybe,,Maybe,Maybe,Somewhat open,N/A,,No,Yes,Maybe,No,1,Never,Sometimes,28,Male,Germany,,Germany,
0,500-1000,1,,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,"No, none did",I was aware of some,Some did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,,No,It's not relevant to the role and illegal to allow for discrimination based in such things in the UK.,Maybe,Maybe,Somewhat not open,No,,I don't know,Maybe,No,No,1,Never,Sometimes,34,Female,United Kingdom,,United Kingdom,
0,More than 1000,1,,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did","Yes, always",I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,,No,,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,40,Female,United States of America,Wisconsin,United States of America,Wisconsin
0,More than 1000,1,,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,Yes,If it needs accommodation then I feel you should be upfront and honest,No,Too much stigma,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Maybe,I don't know,Yes,No,Yes,1,Rarely,Often,45,Male,United States of America,Washington,United States of America,Washington
0,100-500,1,,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,I would bring it up if I found it relevant for my ability to do my job. Otherwise I would not.,Maybe,I would bring it up if I felt it would impact my ability to do my job.,Maybe,Maybe,Somewhat open,N/A,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Sweden,,Sweden,
0,More than 1000,0,1,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,None did,None of them,Yes,,Maybe,,Maybe,"Yes, I think they would",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,30,male,United States of America,Washington,United States of America,Washington
0,More than 1000,0,1,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Yes,it might impact the services they needed to provide,Yes,it might impact the services they needed to provide,Maybe,Maybe,Very open,"Yes, I observed",No,No,No,No,No,0,Not applicable to me,Not applicable to me,47,female,United Kingdom,,United Kingdom,
0,100-500,1,,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,,No,,"Yes, I think it would",Maybe,Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,48,m,United Kingdom,,United Kingdom,
1,,,,,,,,,,,,,,,,1,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Yes,1-25%,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,"There are some things that are protected by law in the US, that I couldn't ask about. If they volunteered the information, I would discuss it.",Maybe,"Again, some of that is protected by law in the US.",Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,No,0,Not applicable to me,Often,44,Male,United States of America,Ohio,United States of America,Ohio
0,More than 1000,1,,Not eligible for coverage / N/A,No,No,I don't know,I don't know,Very difficult,Yes,Maybe,No,Maybe,No,Yes,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Fear that it would be used as a reason not to hire me,Maybe,Fear it might make the prospective employer uncomfortable with hiring me,"Yes, it has","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,29,Male,United States of America,Colorado,United States of America,Colorado
0,More than 1000,0,1,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,That shouldn't be part of a hiring decision.,Maybe,"Again, not part of the hiring process.",Maybe,"No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,52,m,United States of America,Missouri,United States of America,Missouri
0,100-500,1,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,,,,,,,,,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,My attitude is that it comes with the package and doesn't have to be mentioned. My skills are still my skills. But I can see situations where I could feel very open and mention it nonetheless (if I can tell that the employer feels the same),Maybe,Same as physical. ,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,Yes,No,No,0,Sometimes,Sometimes,34,Female,Sweden,,Sweden,
0,100-500,1,,Yes,Yes,No,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"If the issue would significantly impact my work, I would bring it up. If not, I wouldn't.",Maybe,"If relevant for the job, I would. If not, I wouldn't.",Maybe,"No, I don't think they would",Very open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,34,male,Netherlands,,Netherlands,
0,More than 1000,1,,I don't know,I am not sure,I don't know,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,,No,,Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,Washington,United States of America,Washington
0,More than 1000,1,,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,No,No,No,No,,,,,,,,,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,It would be uncomfortable,No,It would be uncomfortable,Maybe,"Yes, they do",Somewhat open,Maybe/Not sure,Yes,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,30,Male,Russia,,Russia,
0,06岿 25老,1,,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Some did,No,None of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Yes,Because it is important,No,Because that is up to them to share ,"No, it has not","No, they do not",Neutral,"Yes, I experienced",No,Yes,Yes,Maybe,No,0,Sometimes,Sometimes,40,Male,United Kingdom,,United Kingdom,
1,,,,,,,,,,,,,,,,0,"No, I don't know any","No, because it doesn't matter",No,"Sometimes, if it comes up",No,Yes,1-25%,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,"Yes, all of them",Some of my previous employers,Some of my previous employers,I don't know,Some of them,Yes,"It may affect my work, and by disclosing this, I'm protected by disability laws.",Maybe,"If it came up, I would. I would not bring it up unprompted.",Maybe,Maybe,Very open,No,,Yes,Yes,Yes,No,0,Not applicable to me,Sometimes,26,Male,Canada,,United States of America,California
1,,,,,,,,,,,,,,,,1,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Yes,1-25%,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,,No,,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,No,No,No,1,Sometimes,Sometimes,36,Male,United Kingdom,,United Kingdom,
0,26-100,0,1,I don't know,I am not sure,No,No,I don't know,Very difficult,No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,It would depend on the nature of the physical health issue and the job role. Relevance is probably the most important deciding factor.,No,"It's roughly equivalent to getting a tattoo on your forehead saying ""don't hire me""","Yes, it has","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,No,0,Not applicable to me,Often,35,Male,United Kingdom,,United Kingdom,
0,More than 1000,0,1,Yes,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,Maybe,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,It would have no bearing on my ability to do the job,Maybe,Possibility that this would have a bearing on doing the job,"Yes, I think it would","Yes, I think they would",Not open at all,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,43,Female,United Kingdom,,United Kingdom,
0,26-100,0,1,No,N/A,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,Not relevant to the interview process.,No,Not relevant to the interview process.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,I don't know,Yes,Yes,Yes,1,Not applicable to me,Often,36,Female,United Kingdom,,United Kingdom,
0,100-500,0,1,Yes,Yes,No,Yes,Yes,I don't know,Yes,No,Maybe,Yes,I don't know,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",I don't know,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Many physical health issues are obvious and not addressing them is therefore obvious. ,Maybe,Mental health issues have a negative stigma. ,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,32,Female,United States of America,Georgia,United States of America,Georgia
1,,,,,,,,,,,,,,,,1,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Not applicable to me,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,It's personal to me and none of their business.,No,Because of the perceptions I think they would have.,Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,36,Female,Ireland,,Ireland,
0,More than 1000,1,,No,N/A,No,I don't know,I don't know,Very difficult,Yes,No,No,No,No,Yes,,,,,,,,,1,Some did,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,Could be seen as a potential problem in the future ,No,Stigma,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,38,Male,New Zealand,,New Zealand,
0,More than 1000,0,1,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,Sometimes,None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,None of them,Maybe,"I tend to want to avoid being ""personal"" during interviews. If I felt a physical health problem had no relevance to work, I wouldn't want to discuss it. ",No,I wouldn't trust a potential employer not to hold mental health against me. ,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,No,Yes,Maybe,No,1,Not applicable to me,Sometimes,35,Male,United States of America,California,United States of America,California
0,100-500,1,,Not eligible for coverage / N/A,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Because it might mean I don't get the job. I have in the last if I knew I had time off coming up or it meant I needed special treatment ,No,Because I'm sure it would mean I didn't get the job ,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,35,F,Australia,,Australia,
0,More than 1000,1,,Yes,I am not sure,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,"there are ways to ""legally"" discriminate. it doesn't take much effort to ""legally"" block a new hire for illegal reasons.",No,"there are ways to ""legally"" discriminate. it doesn't take much effort to ""legally"" block a new hire for illegal reasons.","Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,No,Yes,Yes,1,Often,Often,45,m,United States of America,Massachusetts,United States of America,California
1,,,,,,,,,,,,,,,,1,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,"Yes, they all did",None of them,Maybe,depending on the issue it might lower chances of employment,Maybe,same as with physical issue,Maybe,Maybe,Somewhat open,No,,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,47,male,New Zealand,,New Zealand,
0,100-500,1,,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,male,United States of America,Colorado,United States of America,Colorado
0,26-100,1,,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,,No,,Maybe,Maybe,Very open,No,,Yes,Yes,No,Yes,1,Sometimes,Often,26,Male,United States of America,Illinois,United States of America,Illinois
1,,,,,,,,,,,,,,,,1,I know some,"No, because it would impact me negatively",N/A,"No, because it would impact me negatively",Not applicable to me,Yes,1-25%,1,"No, none did",N/A (not currently aware),None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Better to disclose something like that up front in case it impacts work.,Maybe,Prefer to keep this private in case an employer discriminates against me.,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Yes,No,Yes,No,Yes,1,Rarely,Rarely,51,Male,Australia,,Australia,
0,26-100,1,,No,No,No,No,No,Very difficult,Yes,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,Maybe,"I want to be seen as an asset, not a burden ",No,Fear of discrimination ,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Often,Rarely,25,Male,Ecuador,,Ecuador,
0,100-500,1,,No,N/A,No,No,No,I don't know,Yes,Maybe,No,No,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,Dramatically lower chance of success.,No,"Lose out on job, for a certainty.","Yes, it has",Maybe,Somewhat open,"Yes, I observed",Yes,No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,41,male,South Africa,,South Africa,
0,More than 1000,0,1,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,Yes,,,,,,,,,0,,,,,,,,,,,,Maybe,,Maybe,,Maybe,Maybe,Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,Illinois,United States of America,Illinois
0,100-500,1,,No,N/A,No,No,I don't know,Very difficult,Maybe,No,Yes,No,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,I have diabetes and it's a natural thing to mention.,No,I feel there is to much of a stigma attached to mental health issues to bring them up in an interview,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,43,Male,Sweden,,Sweden,
0,26-100,1,,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,I'd need to ensure that I could manage my back pain on a long term basis with a new employer without any issue in doing so.,No,I would be certain that nobody would want to hire someone with a mental health issue. ,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,0,Rarely,Often,33,Male,United Kingdom,,United Kingdom,
1,,,,,,,,,,,,,,,,0,"Yes, I know several",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,No,No,No,No,0,Not applicable to me,Not applicable to me,37,m,Australia,,Australia,
0,26-100,1,,No,N/A,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,Maybe,They might disregard me due to already having cause to take sick days off work,No,It would make them perceive me as weak or someone who will cost them money from sick days,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,27,Female,United Kingdom,,United Kingdom,
1,,,,,,,,,,,,,,,,1,I know some,"No, because it would impact me negatively",I'm not sure,"Sometimes, if it comes up",I'm not sure,Yes,1-25%,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,If it would have an impact on the job I could do. ,No,There's a stigma. ,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,54,F,United States of America,California,United States of America,California
0,More than 1000,0,1,I don't know,I am not sure,No,No,I don't know,Very easy,No,No,No,No,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,for his selfcare in the environment ,Maybe,the same ,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,No,No,No,0,Rarely,Often,38,m,Italy,,Italy,
0,More than 1000,1,,No,No,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,It should not affect the outcome. ,No,Same as physical : shouldn't affect outcome ,Maybe,Maybe,Very open,No,,I don't know,Yes,No,Yes,1,Sometimes,Often,42,male,Germany,,Germany,
0,26-100,1,,Yes,I am not sure,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,,,,,,,,,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Maybe,I don't think it's relevant.,Maybe,"Again, unless relevant.","No, I don't think it would","No, I don't think they would",Somewhat open,No,,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,30,Male,United Kingdom,,United Kingdom,
0,500-1000,1,,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Maybe,Yes,Yes,No,,,,,,,,,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,I don't know,"Yes, all of them",Maybe,it depends how much I feel I trust them,No,I don't yet know what they'd do with that information,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,No,Yes,1,Never,Rarely,43,M,Australia,,Australia,
1,,,,,,,,,,,,,,,,1,I know some,"No, because it would impact me negatively",I'm not sure,"Sometimes, if it comes up",No,Yes,26-50%,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,There is no benefit and it's a risk.,No,There is no benefit and it's a risk.,Maybe,Maybe,Neutral,No,,I don't know,Yes,Yes,Yes,1,Rarely,Often,33,Male,Netherlands,,Netherlands,
0,01岿 05老,1,,Not eligible for coverage / N/A,N/A,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,I would rather try to get the job first and then raise it if required later,No,I would raise it after I got the job if necessary,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",N/A,Yes,No,No,No,0,Not applicable to me,Not applicable to me,37,Female,Australia,,Australia,
0,100-500,1,,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,Maybe,No,No,,,,,,,,,1,Some did,"No, I only became aware later",None did,None did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,Worried about it interfering with day to day tasks or limiting opprotunities,No,"Worried about it limiting opportunities, seen as a major negative ","Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Rarely,Often,25,male,United States of America,Virginia,United States of America,Virginia
0,More than 1000,1,,Not eligible for coverage / N/A,N/A,Yes,Yes,I don't know,Somewhat difficult,Yes,No,No,No,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Never,Often,27,Male,Australia,,Australia,
1,,,,,,,,,,,,,,,,0,I know some,"No, because it would impact me negatively",I'm not sure,"No, because it would impact me negatively",I'm not sure,Yes,26-50%,0,,,,,,,,,,,,Maybe,Embarrassed,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat not open,N/A,,Yes,Yes,Yes,Yes,1,Sometimes,Often,27,Male,Canada,,Canada,
0,More than 1000,0,1,Yes,No,No,Yes,Yes,I don't know,Yes,Yes,No,No,I don't know,No,,,,,,,,,0,,,,,,,,,,,,No,They could hire someone without that issue,No,Nobody wants to hire a crazy person,"Yes, I think it would","Yes, I think they would",Not open at all,N/A,,No,Yes,Yes,Yes,1,Sometimes,Often,27,Male,United States of America,Texas,United States of America,Texas
1,,,,,,,,,,,,,,,,1,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Yes,1-25%,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,None did,Some of them,Maybe,,Maybe,,Maybe,Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Maybe,No,No,Maybe,No,0,Not applicable to me,Sometimes,35,M,Germany,,Germany,
